participant,session,trial_number_overall,image_name,fixation_duration,eccentricity_fix,eccentricity_obj,sacc_amp,ROI_size
501,1,49,1563.jpg,560,146.377081539427,115.920892213694,3.63842035558463,24116
501,1,93,1567.jpg,651,84.4704090199639,86.4452439450012,NaN,676
501,1,93,1567.jpg,156,128.538904616462,133.365336990746,1.0914323924291,14489
501,1,93,1567.jpg,946,127.401923062409,71.3724331109428,5.78932848697721,56763
501,1,93,1567.jpg,865,91.4945353559435,71.3724331109428,4.42852873569798,56763
501,1,93,1567.jpg,739,110.522622118732,86.4452439450012,4.38516646630448,676
501,1,104,1569.jpg,603,77.1767452021657,NaN,1.03843640159799,117047
501,1,104,1569.jpg,576,79.9202727723073,51.0872224629472,NaN,693
501,1,9,1577.jpg,522,146.339502527513,157.777456946077,4.77641994649652,22842
501,1,9,1577.jpg,676,146.202770151595,NaN,4.04274164526497,101484
501,1,31,1578.jpg,910,84.0371941464016,NaN,2.8778743840167,126866
501,1,44,1580.jpg,593,136.401063045711,NaN,2.95082814145153,93217
501,1,44,1580.jpg,846,78.8431988189216,74.4389954076732,2.54152643741548,4369
501,1,91,1582.jpg,490,85.8792757305277,92.8897014382504,1.90243207956654,1447
501,1,91,1582.jpg,557,113.90017559249,54.6843213118154,2.47778594168315,4697
501,1,15,1584.jpg,1235,70.3580130475556,NaN,1.17775745121286,126796
501,1,5,1585.jpg,1000,79.8389002930276,142.148099819567,2.23864993591127,37539
501,1,60,1590.jpg,474,115.608174451463,104.738684576091,1.21736170945287,99
501,1,60,1590.jpg,579,79.5251532535461,NaN,4.10001107124131,95510
501,1,60,1590.jpg,775,154.639095962179,145.573846492354,4.74846363076957,1813
501,1,77,1592.jpg,465,86.4190372545309,97.0030646814241,NaN,628
501,1,66,1605.jpg,500,70.301137970875,89.1870582104517,NaN,643
501,1,66,1605.jpg,574,118.478901075255,114.297117166046,2.75748558414586,304
501,1,66,1605.jpg,424,69.92317212484,89.1870582104517,1.32807831869273,643
501,1,66,1605.jpg,850,73.0154093325512,101.668916990183,1.43233783831204,415
501,1,2,1628.jpg,1153,73.5272058492637,93.499142067778,1.03557151928314,1249
501,1,105,1630.jpg,540,72.3135533631144,77.7198959522924,1.34400452920832,983
501,1,16,1631.jpg,787,72.2789734293453,67.2545328873804,0.885794213115384,2315
501,1,119,1650.jpg,1784,157.715725278109,146.686330939822,4.74819887679921,2036
501,1,70,1663.jpg,390,81.891696770796,93.2814012583033,1.76320814297152,3464
501,1,70,1663.jpg,601,103.27269726312,93.2814012583033,2.15676174101722,3464
501,1,72,1671.jpg,824,127.22126394593,95.0487052506793,2.81729290840952,48628
501,1,72,1671.jpg,468,139.614648228615,95.0487052506793,3.54774427367413,48628
501,1,72,1671.jpg,283,102.226464283961,90.2629899854371,4.05148258122815,480
501,1,72,1671.jpg,1180,136.880422267028,95.0487052506793,4.17739175117787,48628
501,1,46,1672.jpg,406,182.080339410931,NaN,3.45732261199794,104015
501,1,46,1672.jpg,1016,73.900270635499,113.448114387487,5.18915081657228,10018
501,1,46,1672.jpg,783,122.744653651391,125.854000771197,2.47884142739479,24141
501,1,27,1696.jpg,940,139.474908137629,161.064765761181,4.47634159414143,1020
