"","b_Intercept","sd_subject_id__Intercept","Intercept","r_subject_id[501,Intercept]","r_subject_id[502,Intercept]","r_subject_id[503,Intercept]","r_subject_id[504,Intercept]","r_subject_id[505,Intercept]","r_subject_id[506,Intercept]","r_subject_id[507,Intercept]","r_subject_id[508,Intercept]","r_subject_id[509,Intercept]","r_subject_id[510,Intercept]","r_subject_id[511,Intercept]","r_subject_id[512,Intercept]","r_subject_id[513,Intercept]","r_subject_id[514,Intercept]","r_subject_id[515,Intercept]","r_subject_id[516,Intercept]","r_subject_id[517,Intercept]","r_subject_id[518,Intercept]","r_subject_id[519,Intercept]","r_subject_id[520,Intercept]","r_subject_id[521,Intercept]","r_subject_id[522,Intercept]","r_subject_id[523,Intercept]","r_subject_id[524,Intercept]","r_subject_id[525,Intercept]","r_subject_id[526,Intercept]","lprior","lp__"
"31",5.190354,2.0386538,5.190354,2.5762536,1.248378,2.86493,0.66955841,1.3098376,-2.6754675,-1.3227433,-1.0866824,3.6297968,-0.51665553,1.35302,2.5877356,-1.0403158,0.80413012,0.53603343,2.8121641,1.0722963,0.98055446,-0.62738006,-2.7582077,-0.69321639,0.47522828,0.26973471,-1.201882,0.59424889,-1.8974288,-9.3496741,-195.8859
"32",5.1092794,2.5647109,5.1092794,3.6197924,1.5736581,3.1398813,1.4562123,1.7133205,-2.9928676,-1.6860684,-2.2677106,4.106683,-0.11640449,1.0962757,3.3852872,-1.8122388,0.54979942,0.33125717,3.2559819,1.1100257,1.2772126,-0.89160665,-4.1698298,-0.65811233,0.96541649,-0.091831712,-1.7957818,1.0374167,-1.7599893,-9.690167,-199.86805
"33",5.423107,2.3300395,5.423107,3.7993144,1.8343979,3.254503,-0.67425343,1.3949095,-2.6279527,-2.0906301,-2.0570024,1.7714048,-0.026534686,0.1327762,3.0632413,-1.1653775,0.57241837,0.47882278,2.0234586,2.0217841,1.9236155,-1.4608847,-2.3047259,-0.59176891,0.76366953,0.23896501,-0.84318073,1.1990439,-1.3745883,-10.190019,-194.96558
"34",5.4746152,2.0037545,5.4746152,2.0609078,1.262472,0.80702344,-0.31228116,0.66891636,-2.3701816,-0.84415124,-1.9245009,2.0462056,-2.1602245,-0.41926198,-1.8376657,-1.2191483,1.9157902,-1.4234795,0.88109657,1.7115695,-0.77570455,-1.9442063,-3.1186742,-1.7744448,-0.43466461,-0.81773458,-0.40743437,1.3043035,-2.0599905,-9.9884718,-192.94125
"35",4.9012946,1.5417338,4.9012946,1.4929017,0.4887305,0.95791864,-0.5576387,0.40582543,-3.1490295,-2.0785315,-1.7535282,0.0028837304,0.26325627,-0.48199144,1.3411373,-0.85780035,-0.99963161,-0.049378549,-0.24726051,-0.49682013,2.9297348,-1.1692494,-1.6791231,-0.18590581,-0.15762052,-0.5706,-0.13790487,0.21291138,-1.0786899,-8.2045126,-196.37219
"36",4.137428,1.8094742,4.137428,1.0117184,1.5926459,1.253759,0.40286946,2.9902724,-1.9237632,-0.90167233,-0.10376221,2.6587855,0.45028583,0.41536756,0.97487398,0.51306303,4.2858818,-0.46912202,3.2492357,2.8993488,0.18167735,-0.67581736,-1.2498908,1.259246,2.1068418,0.27703267,-0.0068078227,1.4903242,-0.41910096,-6.9379469,-192.77412
"37",4.0624621,1.1040316,4.0624621,0.93800942,2.1754538,0.3918397,0.82265174,1.4777782,-1.4649137,-0.27239066,-1.1714909,0.71428139,0.1171252,0.74305366,0.47154013,-0.31804818,0.67920691,0.3996397,-0.075176771,0.51129627,1.9970038,-0.32589291,-1.7516494,-0.67323862,0.41574276,1.0434638,1.3291787,1.9486951,-0.60304004,-6.0959016,-195.3044
"38",4.9187714,1.4813231,4.9187714,0.34331511,-0.67736889,-0.084078241,-0.7427121,0.5904294,-2.8520445,-1.7978684,-1.2669661,0.98632687,-0.069536954,0.17030763,-0.073679914,-0.89055325,1.4290022,0.80217652,0.92236033,1.19666,0.50872645,-1.1971258,-2.5552809,-0.63224612,1.7369771,-1.1375038,-0.94294182,-1.683295,-1.1320156,-8.1822405,-194.92567
"39",4.1171824,1.3548343,4.1171824,1.2539603,2.7035473,1.6638145,1.4365857,1.4684664,-2.031473,0.1231592,-1.4452675,1.2215943,-0.461048,0.4476569,0.57515618,0.20934693,0.59274555,-1.3169758,0.79900033,0.73299185,1.5164507,-0.64047815,-1.8115579,0.70466234,-0.76267711,1.5539662,1.1695303,3.6437472,-0.30490362,-6.4461691,-197.48508
"40",4.7701396,1.6717969,4.7701396,0.53030831,-0.24188639,-0.036244624,-0.28648753,0.618215,-2.402686,-0.80128156,-2.4368352,0.99624508,0.38612264,-0.43267126,-0.75317625,0.0049631978,1.6417963,0.66818683,1.8432373,1.1922343,0.67767462,-1.2422609,-2.2898809,0.055569324,2.3432613,-0.21634306,-1.0640221,-0.044703945,-0.37432661,-8.0526964,-193.53971
"41",4.7053829,1.1723742,4.7053829,-0.1448547,1.6511916,0.23822406,0.59302759,2.5887255,-2.2999495,-1.476891,-0.33684961,-0.081223519,-1.346664,0.25111478,0.34613965,-0.68072131,0.89796865,-0.71565064,1.6556368,0.079307041,1.0071346,-0.95223591,-2.1080374,-0.23375653,0.41284263,0.48058852,-0.0090537955,0.4075988,-1.3650996,-7.4169175,-195.78186
"42",4.4257198,1.2620898,4.4257198,1.7506342,1.7175579,0.84640361,0.29297018,3.4418379,-2.3571648,-1.6170375,-1.0566828,-0.084871626,-1.0880243,0.65739024,0.037763457,-0.61814164,0.99268012,-0.31866524,2.075659,-0.61037685,1.7159877,-1.1226843,-1.6141924,0.13121869,-0.0006782681,-0.18751594,-0.10712037,-0.10458506,-1.177488,-6.9391591,-196.95919
"43",4.249623,1.1594163,4.249623,0.21878823,0.10269707,0.48992049,1.0679722,-0.63862076,-1.6759119,-0.0075362347,-1.2108634,2.2840255,0.37728643,0.4909799,0.41400102,0.10691539,0.92837169,-0.4251315,-0.25717886,2.0002118,0.79487419,-0.55759147,-1.8416286,-0.25240699,0.53698003,1.0222535,0.58891599,1.3789047,-0.46722172,-6.4969969,-196.23969
